,name,sex,dob,zip,citizenship,marital_status,last_voted
84,"al-Saladin, Umair",Male,1993-12-17,2100,Denmark,Never married,1
85,"Miera, Taya",Female,1991-05-25,2200,Denmark,Never married,1
86,"al-Hosein, Nawaar",Male,1992-11-19,2100,Denmark,Married/separated,2
87,"Laulu, Kitanna",Female,1992-12-06,2300,Denmark,Never married,1
88,"Fuller, Breydon",Male,1986-01-07,2400,Denmark,Married/separated,2
89,"al-Kassem, Numair",Male,1986-07-24,2200,Denmark,Married/separated,1
90,"Grady, Concetta",Female,1992-01-03,2200,Comoros,Never married,1
91,"Jaramillo, Soraya",Female,1985-02-02,2200,Denmark,Never married,1
92,"Hannon, April",Female,1990-04-22,2300,Denmark,Never married,1
93,"Annalora, Ashley",Female,1984-12-19,2300,Denmark,Married/separated,2
94,"Dunn, John",Male,1992-07-11,2300,Denmark,Never married,1
95,"Oyama, Chandan",Male,1986-09-24,2200,Denmark,Married/separated,2
96,"Brown, Mariesha",Female,1993-08-23,2400,Denmark,Never married,2
97,"Le, Christina",Female,1991-06-24,2100,Denmark,Married/separated,2
98,"Barger, Kaitlyn",Female,1990-12-17,2100,Denmark,Never married,1
99,"Ortiz, Milton",Male,1986-11-06,2200,Denmark,Divorced,1
100,"Abeln, Kevin",Male,1990-06-14,2100,Denmark,Never married,2
101,"Garcia, Ricardo",Male,1989-10-28,2200,Denmark,Never married,1
102,"Surrage, Elizabeth",Female,1991-04-16,2200,Turkey,Never married,2
103,"Richardson, Sunnique",Female,1988-05-10,2100,Denmark,Never married,2
104,"Campos, Charlotte",Female,1986-02-18,2400,China,Married/separated,1
105,"Neil, Alexandria",Female,1989-08-30,2300,Denmark,Never married,2
106,"Martinez, Alejandra",Female,1989-12-22,2200,Denmark,Never married,1
107,"Martinez, Julia",Female,1993-09-01,2100,Denmark,Never married,1
108,"Jackson, Quentin",Male,1993-08-05,2200,Denmark,Never married,1
109,"Mommandi, Wahida",Female,1993-12-06,2300,Denmark,Never married,2
110,"Green, Braylee",Female,1987-09-05,2200,Denmark,Married/separated,1
111,"Morales, Frankie",Male,1985-12-08,2300,Denmark,Divorced,1
112,"Cole, Stephanie",Female,1985-12-28,2100,Denmark,Never married,1
113,"Sasse, Elizabeth",Female,1984-11-05,2400,Denmark,Married/separated,2
114,"Brant, Kayla",Female,1992-06-23,2200,Denmark,Never married,1
115,"el-Mohamed, Taalib",Male,1992-08-24,2100,Denmark,Never married,2
116,"Teasdale, Ludmyla",Female,1988-05-28,2300,Romania,Never married,1
117,"Canada, Anthony",Male,1985-04-17,2400,Denmark,Never married,2
118,"al-Harroun, Fateena",Female,1988-04-04,2400,Denmark,Married/separated,1
119,"Mcgee, Tamikah",Female,1991-08-20,2100,Denmark,Never married,1
120,"Kuestersteffen, Houston",Male,1993-08-20,2200,Denmark,Never married,1
121,"Moran, Wendy",Female,1988-07-04,2300,Denmark,Never married,2
122,"Lim, Justin",Male,1989-08-08,2400,Denmark,Never married,2
123,"Torres Olmos, Peyton",Female,1984-05-21,2400,Denmark,Never married,1
124,"Musselman, Morgan",Male,1993-03-23,2100,Denmark,Never married,1
125,"al-Rehmann, Tawfeeq",Male,1992-01-15,2200,Denmark,Never married,1
126,"Strebig, Mykina",Female,1992-09-09,2100,Denmark,Married/separated,1
127,"Leon Fajardo, Adam",Male,1988-01-04,2200,Denmark,Married/separated,1
128,"Garrett-Mills, Rajae",Female,1992-08-05,2100,Denmark,Never married,2
129,"el-Hannan, Mufeed",Male,1986-11-09,2200,Denmark,Never married,1
130,"Lawson, Marissa",Female,1989-08-08,2100,Denmark,Never married,2
131,"Jackson, Andra",Female,1991-05-13,2100,Denmark,Never married,2
132,"al-Javed, Jamaal",Male,1987-08-23,2100,Denmark,Never married,1
133,"Maguire III, Lana",Female,1991-12-31,2100,Denmark,Never married,1
134,"Mohan, Ruo",Female,1988-12-19,2300,Denmark,Never married,2
135,"Pham, Sang",Male,1989-04-27,2300,Denmark,Never married,1
136,"Ladd, Cameron",Male,1989-03-30,2100,Denmark,Never married,2
137,"Packard, Kaylynn",Female,1993-12-03,2200,Denmark,Never married,1
138,"Commerford, Justin",Male,1987-02-16,2200,Denmark,Married/separated,1
139,"Kapule, Elsa",Female,1988-09-15,2300,Denmark,Never married,1
140,"Lara, Eugene",Male,1984-09-06,2300,Denmark,Divorced,1
141,"Ombadykow, Kitty",Female,1985-07-14,2300,Denmark,Married/separated,1
142,"Mercer, Adriano",Male,1992-11-14,2200,Denmark,Never married,2
143,"Merrell, Devin",Male,1991-06-14,2200,Denmark,Never married,1
144,"Jenkins, Aaron",Male,1990-03-22,2300,Denmark,Never married,2
145,"Bakas, Elisabeth",Female,1985-04-22,2300,Afghanistan,Married/separated,1
146,"George, Sarah",Female,1992-10-14,2100,Denmark,Never married,1
147,"Bell Jr, Taishayna",Female,1984-12-24,2200,Denmark,Never married,2
148,"Devera, Beauregard",Male,1987-05-03,2300,Denmark,Married/separated,2
149,"Blalock, Alaura",Female,1992-11-24,2200,Denmark,Never married,1
150,"Cruz, Adrian",Male,1984-03-02,2400,Denmark,Never married,1
151,"Gore, Alissa",Female,1991-03-01,2300,Denmark,Married/separated,2
152,"Richard, Adrick",Male,1984-06-15,2300,Denmark,Married/separated,1
153,"Nguyen, Brandon",Male,1991-02-13,2100,Denmark,Married/separated,1
154,"el-Shah, Waail",Male,1987-07-06,2200,Denmark,Never married,2
155,"Denardo, Jordain",Male,1984-04-24,2100,Denmark,Never married,1
156,"Lowe, Alan",Male,1993-02-18,2100,Denmark,Never married,1
157,"Coffey, Jaycee",Female,1988-11-08,2200,Denmark,Divorced,1
158,"Allred, Connor",Male,1988-05-19,2100,Denmark,Never married,1
159,"Miller, Tristin",Male,1987-04-18,2300,Denmark,Never married,1
160,"Romero, Jesse",Male,1990-10-26,2300,Denmark,Never married,1
161,"Elliott, Amanda",Female,1990-05-16,2100,Denmark,Never married,1
162,"Heathcock, Corin",Female,1984-08-09,2200,Denmark,Never married,1
163,"Yazzie, Alysia",Female,1991-12-22,2300,Burundi,Never married,1
164,"el-Mustafa, Shaamil",Male,1986-02-24,2300,Denmark,Never married,1
165,"Welch, Matthew",Male,1987-04-20,2400,Denmark,Never married,2
166,"Loneeagle, Jesus",Male,1990-06-06,2100,Denmark,Married/separated,1
167,"Rocha, Casady",Female,1992-10-20,2100,Denmark,Never married,1
168,"Frazier, Emily",Female,1989-12-01,2200,Denmark,Never married,1
169,"Mcgillivary, Tommaso",Male,1990-04-16,2100,Denmark,Never married,1
170,"Folsom, Michelle",Female,1986-12-09,2300,China,Never married,1
171,"Pingle, Caleb",Male,1976-11-07,2300,Denmark,Married/separated,1
172,"Mancilla, Mikaela",Female,1975-08-16,2400,Denmark,Divorced,2
173,"Baasch, Steven",Male,1982-04-29,2100,Denmark,Married/separated,1
174,"Rohrkaste, Zachary",Male,1982-06-09,2200,Denmark,Married/separated,1
175,"Lo, Erin",Female,1976-12-14,2400,Denmark,Married/separated,2
176,"el-Husain, Lubaaba",Female,1978-05-05,2100,Denmark,Married/separated,2
177,"Burke, Karissa",Female,1979-06-05,2100,Denmark,Married/separated,2
178,"Machal, Logan",Male,1982-03-26,2100,New Zealand,Married/separated,2
179,"Sameshima, Franco",Male,1981-07-07,2300,Denmark,Married/separated,2
180,"Garza, Marisa",Female,1982-01-09,2300,Denmark,Never married,2
181,"Steveson, Adam",Male,1981-09-08,2200,Denmark,Married/separated,2
182,"Combs, Nyang",Male,1981-08-10,2100,Denmark,Married/separated,2
183,"Gober, Orion",Male,1975-02-23,2400,Denmark,Married/separated,1
184,"Patterson, Sharif",Male,1983-08-29,2100,Denmark,Never married,1
185,"Ruiz, Kanani",Female,1983-03-05,2200,Romania,Married/separated,1
186,"Green, Jasmine",Female,1982-03-24,2300,Lithuania,Married/separated,1
187,"Zheng, Brianne",Female,1974-07-27,2200,Denmark,Never married,1
188,"Templeton, Noah",Male,1980-05-10,2400,Czech Republic,Never married,1
189,"Patterson, Dennis",Male,1975-03-10,2400,Denmark,Married/separated,1
190,"Jones, Christopher",Male,1975-04-09,2400,Denmark,Married/separated,1
191,"Broadway, Orevaoghene",Male,1983-02-20,2100,Denmark,Never married,1
192,"Jones Hofmann, Daryn",Female,1983-05-10,2200,Denmark,Married/separated,2
193,"al-Gaber, Raita",Female,1976-07-08,2300,Denmark,Never married,1
194,"el-Abdella, Mukhtaar",Male,1975-07-05,2300,Denmark,Married/separated,1
195,"Rohrbach, Daniel",Male,1981-11-13,2200,Denmark,Never married,2
196,"Gonzalez, Joshua",Male,1983-05-31,2200,Denmark,Never married,1
197,"Joe, David",Male,1980-04-06,2200,Denmark,Married/separated,2
198,"Nguyen, Schuyler",Male,1980-08-23,2400,Denmark,Married/separated,1
199,"Miller, Tyreece",Male,1978-01-03,2400,Denmark,Never married,2
200,"Forbis, Nancy",Female,1975-05-04,2300,Denmark,Never married,1
201,"el-Yassin, Naseer",Male,1978-02-03,2100,Denmark,Never married,1
202,"Cayou, Davier",Male,1980-06-24,2300,Denmark,Never married,1
203,"Britton, Jasmine",Female,1975-10-26,2400,Denmark,Divorced,2
204,"Ellis, Elizabeth",Female,1976-06-05,2400,Denmark,Never married,2
205,"Tamayo, Prisma",Female,1977-05-22,2300,Denmark,Never married,1
206,"Valdez, Geralee",Female,1979-05-31,2200,Denmark,Never married,1
207,"Gillespie, Hanna",Female,1981-06-20,2100,Denmark,Married/separated,1
208,"Wan, Nilofar",Female,1976-07-23,2200,Denmark,Never married,2
209,"Hintz, Davidray",Male,1980-08-21,2400,Denmark,Married/separated,1
210,"Conner, Teig",Male,1976-07-06,2200,Denmark,Never married,2
211,"Vardas, Jennifer",Female,1974-04-01,2400,Denmark,Married/separated,1
212,"Jacquez, Natasha",Female,1978-04-08,2200,Germany,Divorced,2
213,"el-Youssef, Aqeel",Male,1975-10-23,2200,Denmark,Married/separated,2
214,"Campa, Kaitlyn",Female,1980-04-09,2100,Denmark,Never married,2
215,"Sullivan, Vanya",Female,1979-12-12,2100,Denmark,Never married,1
216,"Mcconnell, Christopher",Male,1983-11-27,2200,Denmark,Married/separated,1
217,"Espinoza, Shanda",Female,1977-01-30,2400,Denmark,Married/separated,1
218,"al-Khalifa, Maahir",Male,1978-06-07,2300,Bulgaria,Married/separated,1
219,"Smith, Dylin",Male,1975-12-24,2400,Denmark,Married/separated,2
220,"Godinez, David",Male,1980-08-14,2100,Denmark,Never married,1
221,"Mohebi, James",Male,1980-06-12,2400,Denmark,Never married,1
222,"Reeves, Mikaela",Female,1977-07-17,2300,Denmark,Never married,1
223,"el-Salloum, Naazil",Male,1976-11-27,2200,Denmark,Divorced,1
224,"Hernandez Gonzalez, Blanca",Female,1975-11-09,2300,Denmark,Married/separated,1
225,"Mead, Jessica",Female,1977-04-08,2400,Denmark,Married/separated,1
226,"Chavez, Jakoby",Male,1978-07-10,2300,Denmark,Married/separated,2
227,"el-Demian, Aseel",Male,1981-08-29,2400,Denmark,Divorced,2
228,"Cooper, Myla",Female,1977-11-04,2300,Denmark,Married/separated,1
229,"Abastta, Ashton",Female,1982-07-05,2400,Indonesia,Never married,1
230,"Abdalla, Ali",Female,1974-06-18,2100,Denmark,Divorced,1
231,"Hvambsal, Caitlin",Female,1979-06-20,2400,Denmark,Married/separated,1
232,"Moore, Simone",Female,1981-03-07,2200,Denmark,Married/separated,1
233,"el-Fadel, Ashqar",Male,1978-09-12,2400,Denmark,Never married,2
234,"Rohde, Kevin",Male,1975-10-31,2200,Denmark,Never married,1
235,"Kim, Alec",Male,1983-10-02,2200,Sweden,Never married,1
236,"Mosley, Caleb",Male,1983-06-26,2300,Denmark,Never married,1
237,"Mayes, Samuel",Male,1978-04-03,2400,Denmark,Married/separated,2
238,"Bowman, Noah",Male,1975-10-26,2400,Denmark,Married/separated,1
239,"Aguayo Dominguez, Jennifer",Female,1982-12-20,2300,Denmark,Married/separated,2
240,"Siewiyumptewa, Anthony",Male,1976-05-08,2200,United Kingdom,Divorced,1
241,"Jones, Jonathan",Male,1982-10-17,2400,Denmark,Married/separated,1
242,"el-Farha, Badr",Male,1980-03-12,2300,Denmark,Divorced,2
243,"Cardiel, Zachary",Male,1980-04-12,2100,Denmark,Never married,2
244,"Hertz, Deion",Male,1982-03-01,2300,Denmark,Never married,1
245,"Muniz, Aaron",Male,1983-01-16,2200,Mexico,Never married,1
246,"Nguyen, Thuvan",Female,1977-08-12,2400,Denmark,Never married,1
247,"Yoshida, Mia",Female,1976-10-30,2400,Syria,Married/separated,1
248,"Sherer, Alonis",Female,1982-09-22,2200,Denmark,Never married,1
249,"Hedin, Christopher",Male,1982-11-01,2300,Germany,Never married,2
250,"Jones, Jia",Female,1983-02-08,2300,Denmark,Divorced,1
251,"Casados, Rachel",Female,1975-04-06,2400,Denmark,Married/separated,1
252,"Elwood, Sidney",Female,1974-06-15,2300,Denmark,Never married,1
253,"Riley, Angelica",Female,1975-06-09,2200,China,Married/separated,2
254,"Conover, Angelique",Female,1977-07-15,2300,Denmark,Married/separated,2
255,"Niemoth, Corrinne",Female,1980-10-24,2200,Sweden,Married/separated,1
256,"Tate, Jessica",Female,1983-02-26,2300,Denmark,Never married,2
257,"Ramos Varela, Nedy",Female,1977-01-20,2400,Pakistan,Married/separated,1
258,"el-Khan, Bassil",Male,1981-12-15,2400,Denmark,Married/separated,1
259,"al-Burki, Annnees",Male,1976-07-09,2200,Denmark,Married/separated,1
260,"el-Sahli, Aatifa",Female,1975-06-10,2200,Denmark,Married/separated,1
261,"Balili, Anthony",Male,1981-03-04,2100,Denmark,Married/separated,2
262,"Nguyen, Amy",Female,1977-11-11,2400,Denmark,Married/separated,1
263,"Milender, Jacqueline",Female,1979-12-16,2400,Denmark,Never married,1
264,"Morgan, Niya",Female,1979-07-19,2400,Denmark,Married/separated,1
265,"Prieto, Nikki",Female,1976-01-23,2400,Egypt,Divorced,2
266,"Ahsan, Samuel",Male,1977-04-10,2300,Denmark,Married/separated,1
267,"Schwendemann, Jeremy",Male,1982-08-22,2100,Denmark,Divorced,2
268,"Tuttle, Cynthia Chaye",Female,1976-11-24,2400,Denmark,Married/separated,1
269,"Hesse, Shelby",Female,1974-12-13,2200,Denmark,Married/separated,2
270,"Lucero, Angelo",Male,1983-07-13,2300,Denmark,Never married,2
271,"Chavez, John",Male,1978-10-11,2400,Denmark,Divorced,1
272,"Mcclaskey, Deja",Female,1978-11-08,2200,Denmark,Married/separated,1
273,"al-Saleh, Hamna",Female,1974-06-16,2400,Denmark,Never married,2
274,"Howell, Nikita",Female,1976-01-18,2200,Denmark,Married/separated,1
275,"Ortega-Jacobo, Erika",Female,1975-09-05,2400,Denmark,Married/separated,1
276,"Bustamante, Nicholas",Male,1982-11-19,2100,Denmark,Married/separated,1
277,"Macaranas, Dollee",Female,1974-03-08,2200,Denmark,Divorced,1
278,"Zhang, Jacob",Male,1978-10-30,2400,Denmark,Married/separated,1
279,"Lopez, Christian",Male,1978-10-25,2100,Denmark,Married/separated,1
280,"Jones, Janae",Female,1974-10-27,2400,Denmark,Never married,2
281,"Jimenez, Jesus",Male,1976-07-02,2300,Denmark,Never married,1
282,"Haile, Seekret",Female,1977-08-30,2400,Denmark,Married/separated,2
283,"Merchant, Bethany",Female,1978-12-24,2300,Denmark,Married/separated,2
284,"Brady, Haley",Female,1979-02-13,2400,Denmark,Married/separated,1
285,"Pedford, Andre",Male,1975-07-12,2300,Spain,Never married,1
286,"Montalvo, Jessica",Female,1982-01-21,2200,Denmark,Married/separated,1
287,"al-Gad, Kulthum",Female,1974-06-11,2400,Denmark,Married/separated,2
288,"Ector, Kiyani",Female,1976-07-29,2200,Denmark,Married/separated,2
289,"el-Irani, Izzat",Male,1981-09-24,2400,Denmark,Never married,1
290,"Tiburcio, Alice",Female,1978-01-20,2200,Denmark,Divorced,1
291,"Disney, Valerie",Female,1980-04-14,2100,Denmark,Never married,2
292,"Martinez, Kayla",Female,1974-11-08,2200,Bosnia and Herzegovina,Never married,2
293,"Lopez, Amelia",Female,1972-09-10,2400,Denmark,Married/separated,1
294,"Montano, Kyle",Male,1969-01-29,2400,Denmark,Never married,1
295,"Kamanawa, Stephanie",Female,1972-12-16,2400,Denmark,Married/separated,1
296,"Jones, Jordan",Female,1971-03-12,2200,Denmark,Divorced,1
297,"Boykin, Davonte",Male,1972-10-06,2100,Denmark,Married/separated,2
298,"al-Abdou, Naqiyya",Female,1969-05-24,2300,Denmark,Divorced,1
299,"Bell, Brendan",Male,1965-08-22,2300,Romania,Married/separated,2
300,"Monie, T'Shinae",Male,1973-02-25,2200,Denmark,Married/separated,1
301,"Brittmon, Joshua",Male,1967-09-23,2400,Denmark,Never married,1
302,"Glaspie, Diamond",Female,1969-09-27,2100,Denmark,Never married,2
303,"Cha, Prasanna",Male,1966-08-08,2200,Denmark,Married/separated,1
304,"Chandonnet, Emily",Female,1968-09-06,2300,Denmark,Married/separated,1
305,"el-Shakoor, Nawfa",Female,1967-05-19,2400,Denmark,Never married,1
306,"Slechter, Jamice",Female,1971-06-28,2400,Denmark,Divorced,1
307,"Haulman, Nathaniel",Male,1972-08-19,2200,Denmark,Never married,1
308,"Caballero, Amanda",Female,1966-12-11,2100,Denmark,Married/separated,1
309,"Rios, Lucia",Female,1972-06-07,2200,Denmark,Married/separated,1
310,"Wu, Michael",Male,1972-08-15,2400,Denmark,Divorced,1
311,"Busak, Tina",Female,1971-03-04,2400,United Kingdom,Never married,2
312,"Shields, Connor",Male,1966-12-20,2200,Denmark,Married/separated,2
313,"Rogers, Timothy",Male,1972-03-09,2200,Denmark,Married/separated,1
314,"Cardella, Madison",Female,1972-10-29,2400,Canada,Never married,1
315,"el-Habeeb, Saamiqa",Female,1964-10-17,2200,Denmark,Married/separated,1
316,"Macneilly, Kelly",Male,1970-02-28,2400,Denmark,Married/separated,1
317,"Lewis, Shyheim",Male,1967-11-08,2400,Denmark,Never married,1
318,"Lewis, Bradley",Male,1969-09-13,2400,Denmark,Never married,2
319,"Her, Karthik",Male,1969-02-16,2300,Denmark,Married/separated,1
320,"Lesmeister, Grace",Female,1972-02-29,2200,Denmark,Married/separated,1
321,"Charboneau-Carl, Ashley",Female,1967-03-25,2400,Denmark,Never married,1
322,"al-Fadel, Fikra",Female,1966-05-02,2300,Denmark,Married/separated,2
323,"Kim, Angel",Female,1973-03-07,2200,Denmark,Married/separated,1
324,"Leyva, Michael",Male,1966-10-04,2200,Denmark,Married/separated,1
325,"Goode, Cheyenne",Female,1967-08-09,2300,Denmark,Divorced,1
326,"Ramos, Danielle",Female,1969-12-12,2400,Denmark,Married/separated,1
327,"el-Salem, Taaliba",Female,1965-02-25,2200,Denmark,Never married,1
328,"Taylor, Anameca",Female,1964-03-17,2100,Denmark,Married/separated,1
329,"Duran, Luis",Male,1971-12-31,2400,Denmark,Divorced,2
330,"Cole, Daisha",Female,1967-04-29,2200,Denmark,Married/separated,2
331,"Morgan, Kevin",Male,1971-06-30,2300,Denmark,Married/separated,1
332,"Nagashima, Lijie",Male,1970-10-19,2100,Denmark,Married/separated,2
333,"Maestas, Anthony",Male,1970-09-02,2300,Denmark,Married/separated,1
334,"Merysca, Alexander",Male,1966-06-16,2400,Denmark,Married/separated,1
335,"el-Sadiq, Marzooq",Male,1973-03-03,2100,Denmark,Married/separated,1
336,"el-Rahman, Faraah",Female,1970-01-14,2200,Denmark,Married/separated,2
337,"Keelick, Pablo",Male,1968-07-19,2300,Denmark,Divorced,1
338,"Siagian, Brittney",Female,1966-03-10,2300,Denmark,Divorced,2
339,"Hammer, Veronica",Female,1968-01-29,2400,Denmark,Married/separated,1
340,"Conley Mishaw, Tre",Male,1971-04-23,2300,Denmark,Married/separated,1
341,"al-Salameh, Burhaan",Male,1972-03-25,2300,China,Divorced,1
342,"Hall, Casimer",Male,1971-02-08,2400,Denmark,Married/separated,1
343,"Hazard, Mi'Kel",Female,1972-02-05,2400,Denmark,Never married,1
344,"el-Chahine, Nabeeha",Female,1972-03-13,2400,Denmark,Married/separated,1
345,"Plumley, Preston",Male,1965-06-20,2100,Denmark,Married/separated,1
346,"Ram, Loan",Female,1970-03-28,2200,Denmark,Never married,1
347,"Jones, Michael",Male,1968-11-23,2300,Denmark,Married/separated,1
348,"Ruiz, Alejandro",Male,1965-02-14,2200,Denmark,Married/separated,1
349,"al-Baluch, Kawthar",Female,1969-05-28,2400,Denmark,Never married,1
350,"Fernandez, Paola",Female,1969-02-22,2400,Iran,Married/separated,1
351,"al-Odeh, Abbaas",Male,1969-03-13,2100,Denmark,Never married,2
352,"Kumar, Seher",Male,1964-08-19,2300,Denmark,Divorced,1
353,"Verde, Larae",Female,1967-01-23,2200,Denmark,Married/separated,1
354,"Evans-Looney, Prennis",Male,1966-02-07,2400,Denmark,Married/separated,1
355,"Lujan, Angela",Female,1967-02-04,2300,Denmark,Married/separated,2
356,"el-Aslam, Shabaan",Male,1966-03-31,2300,Denmark,Married/separated,1
357,"Johnson-Newborn, Randy",Male,1964-08-23,2300,Romania,Married/separated,2
358,"Pamplin, Michael",Male,1971-10-15,2400,Denmark,Married/separated,1
359,"Martin, Jacob",Male,1971-10-23,2200,Denmark,Married/separated,1
360,"Flores Andrade, Damian",Male,1973-12-26,2200,Denmark,Divorced,2
361,"Nguyen, Charles",Male,1971-11-02,2300,Denmark,Married/separated,2
362,"el-Jama, Sadoon",Male,1968-09-19,2400,Denmark,Married/separated,2
